Firstseen (UTC)	Version	Feodo C&C	Status	SBL	ASN	Country	Lastseen (UTC)\
2018-04-15 07:15:41	E	45.56.91.17	offline	Not listed	AS63949 LINODE-AP		2018-04-27 01:39:26\
2018-04-15 00:56:56	E	70.32.94.216	offline	SBL399182	AS31815 MEDIATEMPLE	- US	2018-04-26 20:32:30\
2018-04-12 16:36:51	E	173.230.149.79	offline	SBL400945	AS63949 LINODE-AP	- US	2018-04-26 20:05:21\
2018-04-12 00:52:49	E	177.99.167.185	offline	SBL398754	AS18881 TELEF195148NICA	- BR	2018-04-27 01:39:26\
2018-04-11 19:56:19	E	167.114.1.241	offline	Not listed	AS16276 OVH,	- US	2018-04-27 01:39:26\
2018-04-06 12:26:23	E	205.186.133.51	offline	SBL397893	AS31815 MEDIATEMPLE	- US	2018-04-27 01:39:26\
2018-04-04 15:01:03	E	23.239.28.4	offline	SBL397560	AS63949 LINODE-AP	- US	2018-04-12 13:22:12\
2018-04-03 02:09:29	E	89.186.26.179	offline	SBL397220	AS39716 VIP-LUBLIN-PL-AS	- PL	2018-04-07 19:22:38\
2018-04-02 18:18:07	E	192.241.241.94	offline	Not listed	AS14061 DIGITALOCEAN-ASN	- US	2018-04-15 07:32:20\
2018-04-01 07:36:50	E	162.251.81.235	offline	SBL400947	AS394695 PUBLIC-DOMAIN-REGISTRY	- VG	2018-04-27 01:39:26\
2018-03-29 20:02:25	E	158.69.249.236	offline	Not listed	AS16276 OVH,	- US	2018-04-27 01:39:26\
2018-03-26 13:19:01	E	177.154.48.66	offline	SBL396176	AS262946 TARSILA	- BR	2018-03-26 19:59:29\
2018-03-22 16:20:33	E	192.184.84.119	offline	Not listed	AS3842 RAMNODE	- US	2018-03-26 15:04:07\
2018-03-22 16:20:33	E	198.12.152.123	offline	Not listed	AS26496 AS-26496-GO-DADDY-COM-LLC	- US	2018-04-12 09:33:50\
2018-03-21 12:39:12	E	190.13.146.47	offline	SBL395980	AS14117 Telefonica	- CL	2018-04-16 06:56:58\
2018-03-21 10:56:26	E	94.23.45.119	offline	Not listed	AS16276 OVH,	- FR	2018-03-27 19:57:36\
2018-03-21 10:56:26	E	149.62.173.247	offline	SBL395419	AS50926 INFORTELECOM-AS,	- ES	2018-04-16 06:56:58\
2018-03-21 00:10:54	E	208.84.149.100	offline	SBL395308	AS17183 RAPIDVPS-COM	- US	2018-04-12 15:08:43\
2018-03-19 23:31:44	E	88.99.115.33	offline	Not listed	AS24940 HETZNER-AS,	- GB	2018-03-27 12:28:41\
2018-03-19 11:59:00	E	61.19.254.63	offline	SBL395170	AS9931 CAT-AP	- TH	2018-04-12 15:08:43\
2018-03-18 20:13:50	E	78.46.65.203	offline	Not listed	AS24940 HETZNER-AS,	- DE	never\
2018-03-16 16:18:41	E	69.94.34.189	offline	SBL394979	AS19916 ASTRUM-0001	- US	2018-04-07 00:41:03\
2018-03-16 16:16:51	E	158.58.170.24	offline	Not listed	AS49367 ASSEFLOW	- IT	2018-04-05 12:07:53\
2018-03-14 21:10:23	E	174.36.13.237	offline	Not listed	AS36351 SOFTLAYER	- US	2018-04-11 15:58:54\
2018-03-14 17:49:18	E	187.1.10.164	offline	Not listed	AS28244 Sendnet	- BR	2018-03-20 02:43:32\
2018-03-14 09:35:42	E	191.242.178.46	offline	SBL394978	AS263151 CONECT	- BR	2018-05-14 04:03:30\
2018-03-14 08:20:59	E	203.198.129.4	offline	SBL394869	AS4760 HKTIMS-AP	- HK	2018-04-12 15:08:43\
2018-03-13 16:43:51	E	46.101.38.119	offline	Not listed	AS14061 DIGITALOCEAN-ASN	- RU	2018-03-15 21:40:55\
2018-03-13 13:06:54	E	12.195.92.118	offline	SBL394453	AS7018 ATT-INTERNET4	- US	2018-04-10 11:04:27\
2018-03-12 22:08:24	E	37.97.239.30	offline	Not listed	AS20857 TRANSIP-AS	- RO	2018-04-10 11:04:27\
2018-03-12 18:59:08	E	139.59.103.116	offline	Not listed	AS14061 DIGITALOCEAN-ASN	- AU	2018-04-08 02:07:33\
2018-03-10 02:21:14	D	62.75.148.105	offline	Not listed	AS8972 GD-EMEA-DC-SXB1,	- DE	never\
2018-03-09 15:45:31	E	192.169.195.219	offline	Not listed	AS26496 AS-26496-GO-DADDY-COM-LLC	- US	2018-04-13 02:42:57\
2018-03-09 13:44:37	E	103.233.58.6	offline	SBL394084	AS59370 ACCESS-NP		2018-04-10 09:35:39\
2018-03-09 09:52:16	E	37.128.146.91	offline	Not listed	AS197902 HOSTNET,	- NL	2018-03-15 06:30:41\
2018-03-09 00:37:41	E	37.139.13.141	offline	SBL393726	AS14061 DIGITALOCEAN-ASN	- NL	2018-03-09 04:37:49\
2018-03-08 19:45:38	E	114.215.67.183	offline	Not listed	AS37963 CNNIC-ALIBABA-CN-NET-AP	- CN	2018-03-09 09:52:16\
2018-03-08 18:11:33	E	204.16.241.109	offline	SBL393697	AS20326 TERASWITCH	- US	2018-03-08 19:28:42\
2018-03-08 03:18:08	E	167.114.117.9	offline	Not listed	AS16276 OVH,	- US	2018-03-12 17:12:28\
2018-03-06 03:45:11	E	213.108.33.44	offline	Not listed	AS31376 SMART-AS,	- RU	2018-03-20 09:54:23\
2018-03-06 03:45:11	E	179.100.27.18	offline	Not listed	AS27699 TELEF195148NICA	- BR	2018-04-11 18:31:41\
2018-03-05 13:53:53	E	64.13.249.49	offline	Not listed	AS31815 MEDIATEMPLE	- US	never\
2018-03-03 07:54:12	E	82.165.196.89	offline	Not listed	AS8560 ONEANDONE-AS	- DE	2018-03-30 23:50:12\
2018-03-01 16:17:23	E	106.187.91.235	offline	Not listed	AS2516 KDDI	- JP	2018-03-25 00:13:40\
2018-03-01 16:17:23	E	45.56.65.180	offline	Not listed	AS63949 LINODE-AP		2018-03-25 00:13:40\
2018-02-27 03:42:33	E	185.20.226.170	offline	Not listed	AS197695 AS-REG,	- RU	2018-03-01 11:05:12\
2018-02-26 15:37:46	E	91.217.66.130	offline	Not listed	AS41360 NEOCOM-,	- UA	2018-04-10 07:03:35\
2018-02-25 23:18:10	D	81.169.128.232	offline	Not listed	AS6724 STRATO	- DE	never\
2018-02-22 21:58:15	E	158.69.65.158	offline	Not listed	AS16276 OVH,	- US	2018-02-23 14:15:28\
2018-02-22 19:35:19	E	137.74.254.70	offline	Not listed	AS16276 OVH,	- CA	2018-03-27 16:05:16\
2018-02-22 17:59:18	E	93.42.184.106	offline	SBL391989	AS12874 FASTWEB,	- IT	2018-04-11 17:47:50\
2018-02-22 15:03:25	E	27.254.150.53	offline	SBL391773	AS9891 CSLOX-IDC-AS-AP	- TH	2018-04-07 20:32:00\
2018-02-22 15:03:25	E	52.4.64.240	offline	Not listed	AS14618 AMAZON-AES	- US	2018-04-11 17:47:50\
2018-02-21 14:15:46	E	54.227.38.29	offline	Not listed	AS14618 AMAZON-AES	- US	2018-04-11 19:47:49\
2018-02-21 01:37:32	E	178.62.253.139	offline	Not listed		- NL	2018-04-08 21:30:38\
2018-02-21 01:37:32	E	189.51.144.3	offline	SBL391336		- BR	2018-02-23 08:02:28\
2018-02-19 19:29:17	E	178.62.39.238	offline	Not listed	AS14061 DIGITALOCEAN-ASN	- GB	2018-02-23 22:43:24\
2018-02-19 19:29:17	E	159.203.94.198	offline	Not listed	AS14061 DIGITALOCEAN-ASN	- US	2018-02-23 08:02:28\
2018-02-15 21:22:52	E	186.103.199.252	offline	SBL391117	AS15311 Telefonica	- CL	2018-04-14 07:42:42\
2018-02-13 21:24:29	E	80.82.115.164	offline	SBL391496		- GB	2018-04-11 11:19:46\
2018-02-13 19:10:05	E	84.200.208.98	offline	SBL391181		- DE	2018-04-13 03:11:11\
2018-02-12 16:22:40	E	104.130.204.251	offline	Not listed	AS19994 RACKSPACE		2018-02-12 17:38:50\
2018-02-12 09:12:31	E	69.45.19.251	offline	Not listed		- US	2018-04-12 09:39:54\
2018-02-08 02:04:55	E	37.97.135.82	offline	Not listed		- RO	2018-04-12 09:39:54\
2018-02-07 14:14:35	E	87.106.145.51	offline	Not listed	AS8560 ONEANDONE-AS	- DE	2018-03-06 18:10:21\
2018-02-07 12:10:15	D	178.62.232.185	offline	Not listed	AS14061 DIGITALOCEAN-ASN	- NL	never\
2018-02-07 02:06:02	D	198.199.98.88	offline	Not listed	AS14061 DIGITALOCEAN-ASN	- US	never\
2018-02-06 17:06:07	D	37.187.4.178	offline	Not listed	AS16276 OVH,	- FR	2018-04-12 09:33:50\
2018-02-06 15:05:15	D	178.33.109.227	offline	Not listed	AS16276 OVH,	- FR	never\
2018-02-04 15:29:06	E	62.210.81.18	offline	Not listed		- FR	never\
2018-02-04 15:29:06	E	74.208.201.171	offline	Not listed		- US	never\
2018-02-04 14:58:56	E	79.172.249.82	offline	Not listed		- HU	2018-02-26 12:51:21\
2018-02-03 05:30:08	E	85.214.47.64	offline	Not listed		- DE	2018-02-23 04:55:54\
2018-01-26 02:04:06	D	205.178.144.133	offline	SBL389214	AS55002 DEFENSE-NET	- US	never\
2018-01-26 02:04:06	D	85.214.62.153	offline	SBL391182	AS6724 STRATO	- DE	never\
2018-01-25 15:06:12	D	87.106.37.146	offline	Not listed	AS8560 ONEANDONE-AS	- DE	never\
2018-01-23 20:05:24	D	188.138.24.140	offline	Not listed	AS8972 GD-EMEA-DC-SXB1,	- DE	never\
2018-01-19 00:42:38	E	198.61.207.174	offline	Not listed	AS33070 RMH-14	- US	2018-04-11 15:22:11\
2018-01-19 00:42:38	E	82.211.30.202	offline	Not listed	AS31400 ACCELERATED-IT,	- DE	2018-05-14 04:03:30\
2018-01-19 00:42:38	E	69.43.168.200	offline	SBL388514	AS22489 CASTLE-ACCESS	- US	2018-04-13 16:20:45\
2018-01-19 00:42:38	E	193.169.54.12	offline	SBL391183	AS49464 ICFSYSTEMS,	- DE	2018-04-12 10:26:13\
2018-01-07 12:52:57	E	69.16.193.12	offline	Not listed	AS32244 LIQUIDWEB	- US	2018-01-10 09:49:09\
2018-01-06 09:32:41	E	178.32.255.132	offline	SBL387201	AS16276 OVH,	- FR	2018-04-12 23:41:12\
2018-01-05 06:57:57	E	71.244.60.231	offline	SBL390850		- US	2018-05-14 04:03:30\
2018-01-05 06:57:57	E	82.131.166.42	offline	SBL386975	AS12301 INVITECH,	- HU	2018-04-11 20:58:41\
2018-01-03 21:38:48	E	37.128.129.88	offline	SBL386862	AS50957 MEMSET,	- GB	2018-01-05 14:14:52\
2018-01-03 18:02:59	E	212.5.159.61	offline	SBL386861	AS8866 BTC-AS	- BG	2018-04-13 16:20:45\
2018-01-03 13:58:22	E	142.4.9.146	offline	Not listed	AS46606 UNIFIEDLAYER-AS-1	- US	2018-01-07 03:31:44\
2018-01-03 13:58:22	E	92.51.161.43	offline	Not listed	AS20773 HOSTEUROPE-AS,	- DE	2018-04-11 20:58:41\
2018-01-02 21:09:20	E	65.44.220.49	offline	Not listed	AS2828 XO-AS15	- US	2018-02-07 11:16:34\
2017-12-31 13:37:32	E	91.121.45.118	offline	Not listed	AS16276 OVH,	- FR	2018-01-04 01:21:30\
2017-12-31 12:21:42	E	195.154.58.200	offline	Not listed	AS12876 AS12876,	- FR	2018-01-04 01:21:30\
2017-12-30 09:32:46	E	49.212.135.76	offline	SBL386612	AS9371 SAKURA-C	- JP	2018-04-11 20:58:41\
2017-12-28 16:20:42	E	198.20.243.145	offline	Not listed	AS46606 UNIFIEDLAYER-AS-1	- US	2018-03-30 06:50:52\
2017-12-27 16:06:19	E	87.106.247.42	offline	Not listed	AS8560 ONEANDONE-AS	- DE	2018-03-30 06:50:52\
2017-12-27 16:06:19	E	85.214.219.12	offline	Not listed	AS6724 STRATO	- DE	2018-03-30 06:50:52\
2017-12-26 12:39:06	E	82.131.166.44	offline	Not listed	AS12301 INVITECH,	- HU	2018-02-02 01:16:51\
2017-12-26 01:38:04	E	149.202.153.252	offline	SBL398446	AS16276 OVH,	- DE	2018-04-26 20:05:21\
2017-12-23 08:23:01	E	5.196.161.148	offline	Not listed	AS16276 OVH,	- DE	never\
2017-12-23 03:26:24	E	220.227.247.35	offline	SBL385618	AS18101 RELIANCE-COMMUNICATIONS-IN	- IN	2018-03-30 13:25:55\
2017-12-23 03:26:24	E	220.227.247.39	offline	SBL385620	AS18101 RELIANCE-COMMUNICATIONS-IN	- IN	2018-03-30 06:50:52\
2017-12-22 23:38:08	E	62.210.253.72	offline	Not listed	AS12876 AS12876,	- FR	2017-12-23 21:19:08\
2017-12-21 20:12:58	E	212.227.95.161	offline	Not listed	AS8560 ONEANDONE-AS	- DE	2017-12-22 08:43:40\
2017-12-20 23:22:13	E	220.227.247.45	offline	SBL386674	AS18101 RELIANCE-COMMUNICATIONS-IN	- IN	2018-05-04 16:48:48\
2017-12-20 20:20:40	E	168.235.74.192	offline	Not listed	AS3842 RAMNODE		2018-04-10 14:23:16\
2017-12-20 20:20:40	E	153.149.153.41	offline	Not listed	AS4713 OCN	- JP	2018-04-10 14:23:16\
2017-12-20 19:27:19	E	178.254.1.183	offline	SBL385306	AS42730 EVANZOAS,	- DE	2018-04-10 14:23:16\
2017-12-19 15:08:54	E	85.214.224.206	offline	Not listed	AS6724 STRATO	- DE	2017-12-25 22:50:30\
2017-12-18 23:36:45	E	192.155.88.196	offline	Not listed	AS63949 LINODE-AP	- US	2018-01-05 15:29:57\
2017-12-18 01:21:29	E	46.4.192.185	offline	Not listed	AS24940 HETZNER-AS,	- DE	never\
2017-12-18 01:21:29	E	5.230.193.41	offline	Not listed	AS12586 ASGHOSTNET,	- DE	never\
2017-12-18 01:21:29	E	168.235.85.153	offline	Not listed	AS3842 RAMNODE		never\
2017-12-17 10:28:46	D	104.236.172.37	offline	SBL384974	AS14061 DIGITALOCEAN-ASN		never\
2017-12-16 16:27:12	D	107.170.231.118	offline	Not listed	AS14061 DIGITALOCEAN-ASN	- US	2018-03-24 13:07:19\
2017-12-15 12:32:23	D	192.254.173.150	offline	SBL385203	AS46606 UNIFIEDLAYER-AS-1	- US	2017-12-17 10:28:46\
2017-12-15 12:32:23	D	45.58.49.244	offline	SBL384972	AS7489 HOSTUS-GLOBAL-AS		2017-12-17 10:28:46\
2017-12-15 10:48:41	E	49.212.155.94	offline	Not listed	AS9371 SAKURA-C	- JP	2018-01-12 03:21:24\
2017-12-14 22:59:19	E	176.28.11.99	offline	Not listed	AS20773 HOSTEUROPE-AS,	- DE	2017-12-15 17:37:20\
2017-12-14 09:18:28	E	138.201.226.235	offline	Not listed	AS24940 HETZNER-AS,	- DE	2017-12-18 22:12:33\
2017-12-14 00:40:50	E	91.234.217.195	offline	Not listed	AS197226 SPRINT-SDC,	- PL	2018-01-12 17:44:15\
2017-12-13 15:16:26	E	109.74.149.195	offline	Not listed	AS29405 VNET-AS,	- SK	2018-01-12 17:44:15\
2017-12-13 11:50:30	D	176.56.237.133	offline	SBL382627	AS198203 ASN-ROUTELABEL,	- NL	never\
2017-12-13 09:21:23	E	216.224.171.191	offline	SBL384493	AS22905 SOFTCOMUS	- US	2018-04-07 04:47:51\
2017-12-10 19:05:09	D	107.170.40.86	offline	Not listed	AS14061 DIGITALOCEAN-ASN	- US	never\
2017-12-08 21:15:36	E	185.15.76.121	offline	Not listed	AS48348 CLOUDBUILDERS,	- ES	2018-03-12 16:25:52\
2017-12-08 20:06:21	E	176.9.31.251	offline	Not listed	AS24940 HETZNER-AS,	- DE	2018-03-21 11:37:03\
2017-12-07 20:27:07	D	138.197.255.18	offline	SBL383906	AS14061 DIGITALOCEAN-ASN	- US	2018-01-19 00:03:18\
2017-12-07 10:58:26	E	173.255.217.114	offline	Not listed	AS63949 LINODE-AP	- US	2018-03-30 06:53:18\
2017-12-07 07:40:57	E	216.70.105.121	offline	SBL383795	AS31815 MEDIATEMPLE	- US	2017-12-23 08:23:01\
2017-12-06 23:30:57	E	176.58.104.69	offline	Not listed	AS63949 LINODE-AP	- GB	2017-12-08 18:06:26\
2017-12-06 14:42:24	E	66.85.74.178	offline	Not listed	AS19969 JOESDATACENTER	- US	2017-12-07 16:13:50\
2017-12-06 04:44:29	E	180.131.139.203	offline	SBL383547	AS131921 GMOCL	- JP	2018-03-24 10:01:08\
2017-12-06 04:44:29	E	188.241.155.6	offline	SBL383571	AS56962 IESOLUTION-AS,	- RO	2018-04-10 17:49:46\
2017-12-05 18:23:38	E	198.154.238.174	offline	Not listed	AS46606 UNIFIEDLAYER-AS-1	- US	2017-12-08 03:45:57\
2017-12-05 06:22:59	E	85.25.192.71	offline	Not listed	AS8972 PLUSSERVER-AS,	- DE	2017-12-07 22:37:13\
2017-12-04 08:26:37	D	91.92.136.107	offline	Not listed	AS44901 BELCLOUD,	- BG	2018-02-25 00:55:24\
2017-12-02 08:43:12	E	104.236.109.186	offline	Not listed	AS14061 DIGITALOCEAN-ASN		2018-04-10 17:49:46\
2017-12-02 08:43:12	E	192.254.214.152	offline	Not listed	AS46606 UNIFIEDLAYER-AS-1	- US	2017-12-15 01:14:47\
2017-12-01 07:04:17	E	131.0.103.194	offline	SBL385124	AS61883 IDC		2017-12-15 01:14:47\
2017-11-30 13:09:22	E	82.146.63.45	offline	Not listed	AS29182 ISPSYSTEM-AS,	- RU	2017-12-07 16:07:52\
2017-11-30 09:05:12	D	176.126.244.207	offline	Not listed	AS60011 BHOST,	- RO	never\
2017-11-30 07:37:33	E	194.187.140.51	offline	SBL382710	AS58211 WS24-AS	- DE	2018-04-11 20:10:28\
2017-11-30 07:37:33	E	89.163.213.208	offline	Not listed	AS24961 MYLOC-AS,	- DE	2017-12-01 06:42:19\
2017-11-29 23:05:21	D	185.86.151.64	offline	Not listed	AS52173 MAKONIX,		never\
2017-11-29 08:35:05	E	173.201.20.6	offline	Not listed	AS26496 AS-26496-GO-DADDY-COM-LLC	- US	2017-11-30 21:21:43\
2017-11-29 08:35:05	E	108.179.236.204	offline	Not listed	AS20013 CYRUSONE	- US	2017-12-05 00:37:54\
2017-11-28 00:43:40	E	216.240.36.142	offline	SBL382436	AS10993 AERIONET-INC	- US	2017-12-01 00:04:05\
2017-11-27 02:48:22	E	213.138.101.212	offline	Not listed	AS35425 BYTEMARK-AS,	- GB	2017-12-08 09:10:42\
2017-11-24 21:21:25	E	60.32.214.242	offline	Not listed	AS4713 OCN	- JP	2017-12-15 06:36:47\
2017-11-23 07:10:32	E	173.212.192.45	offline	Not listed	AS51167 CONTABO	- US	2017-12-08 09:10:42\
2017-11-23 07:10:32	E	69.43.168.215	offline	Not listed	AS22489 CASTLE-ACCESS	- US	2017-11-27 05:16:48\
2017-11-23 07:10:32	E	162.144.254.125	offline	Not listed	AS26337 OIS1	- US	2017-12-08 09:10:42\
2017-11-23 06:51:36	E	85.25.33.71	offline	Not listed	AS8972 PLUSSERVER-AS,	- DE	2017-12-15 06:36:47\
2017-11-21 16:05:06	D	104.200.67.136	offline	SBL348202	AS8100 ASN-QUADRANET-GLOBAL		never\
2017-11-20 05:05:15	D	185.16.41.151	offline	Not listed	AS199456 VLDTECH-ASN,	- GB	never\
2017-11-19 13:02:10	E	217.13.106.16	offline	SBL386676	AS12301 INVITECH,	- HU	2018-04-10 11:36:49\
2017-11-16 15:43:16	E	198.199.185.251	offline	SBL381253	AS40211 STEINERSTUDIOS	- US	2017-11-24 14:42:10\
2017-11-16 15:43:16	E	217.13.106.241	offline	SBL381254	AS12301 INVITECH,	- HU	2017-11-24 14:42:10\
2017-11-16 11:32:29	E	213.192.1.170	offline	SBL381252	AS6830 LGI-UPC	- CZ	2017-12-11 08:39:56\
2017-11-15 20:49:57	E	217.13.106.246	offline	SBL381162	AS12301 INVITECH,	- HU	2018-04-11 01:08:26\
2017-11-15 18:44:59	E	41.72.140.141	offline	Not listed	AS37153 HETZNER,	- ZA	2017-11-24 14:42:53\
2017-11-15 18:42:23	E	69.43.168.196	offline	Not listed	AS22489 CASTLE-ACCESS	- US	2017-11-15 23:53:10\
2017-11-15 14:51:20	D	95.150.72.177	offline	Not listed	AS12576 ORANGE-PCS,	- GB	never\
2017-11-15 08:10:02	D	128.199.244.136	offline	Not listed	AS14061 DIGITALOCEAN-ASN	- SG	2017-12-16 16:27:12\
2017-11-14 20:20:29	E	124.109.2.75	offline	SBL380964	AS45413 SERVENET-AS-TH-AP	- TH	2017-11-29 00:48:33\
2017-11-14 06:41:58	E	95.163.86.154	offline	Not listed	AS12695 DINET-AS,	- RU	2017-11-24 22:20:22\
2017-11-14 06:41:58	E	45.73.17.164	offline	SBL380963	AS5769 VIDEOTRON		2017-11-29 00:48:33\
2017-11-14 06:41:58	E	148.251.33.195	offline	Not listed	AS24940 HETZNER-AS,	- DE	2017-11-24 21:22:05\
2017-11-13 19:53:34	E	77.220.64.60	offline	Not listed	AS44160 INTERNETONE	- IT	2017-11-15 06:57:05\
2017-11-13 08:23:20	E	46.4.251.184	offline	Not listed	AS24940 HETZNER-AS,	- DE	2018-04-30 06:19:46\
2017-11-10 14:14:20	E	104.227.137.35	offline	Not listed	AS55286 SERVER-MANIA		2017-11-13 12:29:43\
2017-11-10 14:14:20	E	206.214.220.81	offline	Not listed	AS25847 SERVINT	- US	2017-11-25 17:30:39\
2017-11-09 20:06:35	D	91.90.88.79	offline	Not listed	AS16276 OVH,	- PL	never\
2017-11-09 12:39:12	E	185.94.252.102	offline	Not listed	AS197890 MEGASERVERS-FFM,		2017-11-14 22:55:55\
2017-11-09 12:39:12	E	78.47.56.190	offline	Not listed	AS24940 HETZNER-AS,	- DE	2017-11-25 17:30:39\
2017-11-09 12:39:12	E	93.180.157.92	offline	Not listed	AS20773 HOSTEUROPE-AS,	- DE	2017-11-25 17:30:39\
2017-11-09 09:44:21	D	164.177.159.22	offline	SBL381058	AS15395 RACKSPACE-LON,	- GB	2017-11-15 08:10:02\
2017-11-09 09:44:21	D	91.92.128.144	offline	Not listed	AS44901 BELCLOUD,	- BG	2017-11-15 08:10:02\
2017-11-09 09:44:21	D	60.190.27.162	offline	SBL384971	AS4134 CHINANET-BACKBONE	- CN	2017-12-16 16:27:12\
2017-11-08 18:29:56	E	77.220.64.57	offline	Not listed	AS44160 INTERNETONE	- IT	2017-11-08 20:02:42\
2017-11-08 14:05:04	D	104.131.187.88	offline	Not listed	AS14061 DIGITALOCEAN-ASN		never\
2017-11-07 19:46:43	E	190.3.183.19	offline	Not listed	AS28098 ABGON	- CL	2017-11-29 00:48:33\
2017-11-07 19:46:43	E	5.9.150.103	offline	Not listed	AS24940 HETZNER-AS,	- DE	2017-11-14 22:55:55\
2017-11-07 13:25:22	E	204.16.201.116	offline	Not listed	AS33554 ASN-NEUTRAL-DATA	- CA	2017-11-08 09:01:23\
2017-11-07 06:06:59	E	167.114.229.71	offline	Not listed	AS16276 OVH,	- US	2017-11-07 12:15:15\
2017-11-06 12:19:20	E	104.227.137.43	offline	Not listed	AS55286 SERVER-MANIA		2017-11-08 20:02:42\
2017-11-06 12:19:20	E	69.43.168.234	offline	Not listed	AS22489 CASTLE-ACCESS	- US	2017-11-07 14:09:20\
2017-11-06 12:19:20	E	5.230.156.95	offline	Not listed	AS12586 ASGHOSTNET,	- DE	2017-11-08 07:00:06\
2017-11-04 13:48:32	E	94.23.43.182	offline	Not listed	AS16276 OVH,	- FR	2017-11-06 20:32:26\
2017-11-03 17:10:05	E	199.119.78.54	offline	SBL379154	AS53857 OPUS-3	- US	2017-11-12 08:04:53\
2017-11-03 09:12:56	E	137.74.254.65	offline	Not listed	AS16276 OVH,	- CA	2017-11-03 13:53:25\
2017-11-02 16:30:00	E	207.58.168.91	offline	Not listed	AS25847 SERVINT	- US	2018-03-23 16:08:55\
2017-11-02 11:43:46	E	194.88.246.242	offline	SBL378882	AS30781 JAGUAR-AS,	- FR	2018-05-02 14:48:21\
2017-11-01 14:26:48	E	217.13.106.249	offline	SBL378800		- HU	2017-11-29 00:48:33\
2017-10-31 15:32:13	E	41.72.140.140	offline	Not listed		- ZA	2017-12-01 06:42:19\
2017-10-31 15:32:13	E	88.99.7.245	offline	Not listed		- GB	2017-11-03 04:43:51\
2017-10-31 15:32:13	E	69.198.17.49	offline	SBL378665		- US	2018-04-10 17:49:46\
2017-10-31 08:50:28	E	12.162.84.2	offline	SBL378477	AS7018 ATT-INTERNET4	- US	2018-04-11 21:34:46\
2017-10-31 08:50:28	E	199.119.78.12	offline	SBL378476	AS53857 OPUS-3	- US	2017-11-01 13:09:44\
2017-10-31 03:56:53	E	91.146.98.128	offline	Not listed		- ES	2017-11-01 13:09:44\
2017-10-30 01:28:47	D	89.171.146.30	offline	SBL378479	AS12741 AS-NETIA	- PL	2018-01-25 06:34:06\
2017-10-30 01:28:47	D	107.170.65.224	offline	SBL383905	AS14061 DIGITALOCEAN-ASN	- US	2017-12-13 07:02:20\
2017-10-28 06:58:56	E	88.198.99.28	offline	Not listed	AS24940 HETZNER-AS,	- DE	2017-10-30 20:49:10\
2017-10-27 19:16:16	D	104.236.49.165	offline	SBL378118	AS14061 DIGITALOCEAN-ASN		never\
2017-10-27 15:26:34	E	108.61.58.4	offline	Not listed	AS20473 AS-CHOOPA	- US	2017-11-01 02:57:04\
2017-10-27 15:26:34	E	188.138.124.206	offline	Not listed	AS8972 PLUSSERVER-AS,	- DE	2017-11-01 20:56:29\
2017-10-27 15:26:34	E	193.46.83.10	offline	SBL378065	AS43463 BST-AS,	- LT	2017-10-30 10:56:50\
2017-10-26 06:39:25	E	91.90.88.5	offline	SBL377753	AS16276 OVH,	- PL	2017-10-30 10:56:50\
2017-10-25 16:17:27	E	178.63.156.138	offline	Not listed	AS24940 HETZNER-AS,	- DE	2017-10-26 06:39:25\
2017-10-25 06:24:36	E	194.88.246.9	offline	SBL377502	AS30781 JAGUAR-AS,	- FR	2018-04-10 17:49:46\
2017-10-25 06:24:36	E	107.170.177.153	offline	Not listed	AS14061 DIGITALOCEAN-ASN	- US	2018-04-10 17:49:46\
2017-10-23 15:56:36	E	50.116.52.111	offline	Not listed	AS63949 LINODE-AP	- US	2017-10-25 16:47:30\
2017-10-23 14:07:30	E	151.80.45.148	offline	Not listed	AS16276 OVH,	- IT	2017-11-07 12:36:01\
2017-10-20 17:14:25	E	46.28.109.151	offline	Not listed	AS197019 WEDOS,	- CZ	2017-10-25 03:40:32\
2017-10-19 01:33:14	D	109.230.199.19	offline	Not listed	AS42708 PORTLANE	- DE	never\
2017-10-19 01:33:14	D	107.161.160.30	offline	Not listed	AS58305 SYN,	- US	2018-04-07 17:13:10\
2017-10-17 19:23:48	E	216.71.120.100	offline	SBL376406	AS40244 TURNKEY-INTERNET	- US	2017-11-07 12:36:01\
2017-10-17 10:12:38	E	83.169.3.142	offline	Not listed	AS20773 HOSTEUROPE-AS,	- DE	2017-11-03 14:20:23\
2017-10-17 10:12:38	E	64.62.228.170	offline	Not listed	AS63949 LINODE-AP	- US	2017-11-07 12:36:01\
2017-10-17 02:33:21	E	205.159.243.40	offline	SBL376198	AS40587 IMAGESTREAM-1	- US	2017-10-17 13:08:46\
2017-10-14 06:34:16	E	207.210.203.163	offline	Not listed	AS36024 COLO4-CO	- US	2017-10-17 14:18:00\
2017-10-13 04:52:16	E	104.130.169.84	offline	Not listed	AS27357 RACKSPACE		2017-11-03 14:20:23\
2017-10-12 15:53:12	E	37.120.179.32	offline	Not listed	AS197540 NETCUP-AS	- DE	2017-10-17 13:08:46\
2017-10-12 04:54:26	E	167.114.121.80	offline	Not listed	AS16276 OVH,	- US	2017-10-17 13:08:46\
2017-10-12 04:54:26	E	88.80.195.221	offline	Not listed	AS20773 HOSTEUROPE-AS,	- DE	2017-10-13 04:53:50\
2017-10-12 04:54:26	E	151.248.126.60	offline	Not listed	AS197695 AS-REG,	- RU	2017-12-08 09:10:42\
2017-10-11 14:44:51	E	87.106.37.89	offline	Not listed	AS8560 ONEANDONE-AS	- DE	2017-10-17 14:18:00\
